word,creole_word,creole_name
withered,pòk,St. Lucia
"wisdom, intelligence, intellect",dibonntèt,St. Lucia
wisdom,"lasajès,chajès,lachajès,sajès",St. Lucia
wire,waya,St. Lucia
"wing,fin (of a fish)",zèl,St. Lucia
wine,"diven,diven wak",St. Lucia
Windward Islands,Lildivan,St. Lucia
window,finèt,St. Lucia
windmill,moulavan,St. Lucia
"will,to volunteer","volonté,divwa,divwa",St. Lucia
"will, intention","divwa,volonté,volonté",St. Lucia
"wild,opp","fawouch,mawon,mawon,sovay,sovay,dosil,dous,dous",St. Lucia
wild yam,bandja,St. Lucia
wild tanya,malanga,St. Lucia
"width,age, level of maturity, adulthood",gwandè,St. Lucia
widow,vèv,St. Lucia
"wickedness,opp","séléwatè,bonté",St. Lucia
"wicked,opp","modi,méchan,séléwa,bon,bon",St. Lucia
"wicked,opp","séléwa,méchan,modi,movèz,bon,bon",St. Lucia
wick,mèch,St. Lucia
why,"pouki,poutji,pouki pou",St. Lucia
whooping cough,lakoklich,St. Lucia
"white,opp","blan,nwè,blan balenn,bouji,blan zé",St. Lucia
"white sea urchin, sea egg (Stronglyocentrus spp.)","chadon,chadwon,chadon benni,chadon nwè,chadwon nwè",St. Lucia
white person,"bétjé,bétjé Kwéyòl",St. Lucia
white cedar,pòwyé,St. Lucia
whistle,souflèt,St. Lucia
whisper,"chwichwi,di an zòwèy,palé chwichwi,palé chwichwi,chwichwi",St. Lucia
whisky,wiski,St. Lucia
whip,"fwèt,kavach,lyenn,lyenn",St. Lucia
whip,"kavach,fwèt,lyenn,lyenn",St. Lucia
while,"padan,padantan,paditan,patan",St. Lucia
which,"kilès,kilès ki,ki moun ki,sa ki",St. Lucia
"when, what time",ki lè,St. Lucia
when one's skin is mottled or marked up from bites or sores,galé,St. Lucia
when a person who has a cow shares profits from sale with a person who has tended it for him,dimotyé,St. Lucia
"whelk, sea snail",bwigo,St. Lucia
wheel,woul,St. Lucia
"what, which,that, which, who,whether...or,either...or","ki,ki...ki",St. Lucia
what is... name?,"koumonnon,kimonnon",St. Lucia
wharf,wòf,St. Lucia
whale,balenn,St. Lucia
"welt, lump",loup,St. Lucia
"well,well,to be friendly with,wealth, riches, possessions, goods, belongings, inheritance,opp","byen,byen fèt,ni tò,byen jwenn,tenk,byen pòtan",St. Lucia
"well, so","alò,alòs,tann",St. Lucia
"well, quite well, satisfactorily",byenmèsi,St. Lucia
well-matched,"tenk,byen jwenn",St. Lucia
well,pi,St. Lucia
weight,"pwa,pwa senkant",St. Lucia
week,simenn,St. Lucia
wedding ring,alyans,St. Lucia
wedding,nòs,St. Lucia
weather,"tan,mové tan",St. Lucia
weapon,fèman,St. Lucia
"weakness,opp","fèblès,fòs,kouway",St. Lucia
"weak,opp","fèb,fò,fò",St. Lucia
"we, us, our",nou,St. Lucia
"wax,matter, sleep in one's eyes",lasi,St. Lucia
wave,"lanm,lanm batan",St. Lucia
wattle,pawsad,St. Lucia
watermelon,moulon,St. Lucia
watercress,kouson,St. Lucia
"water,tear","dlo,glo,dlo ajenni,dlo dous,dlo gwip,dlo sikwé,mété dlo an bouch",St. Lucia
was,sété,St. Lucia
wart,"véwi,pikan véwi,nonm douvan nonm",St. Lucia
warship,mannwa,St. Lucia
warning,"avètisman,vètisman",St. Lucia
"war,opp","ladjè,lapé",St. Lucia
wake,"lavéyé,vèy",St. Lucia
waistcoat,jilyé,St. Lucia
"waist, lower back",wen,St. Lucia
vulture,kòbo,St. Lucia
volcano,"vòlkan,lévé vòlkan",St. Lucia
voice,vwa,St. Lucia
vision,vizyon,St. Lucia
visa,vizé,St. Lucia
virgin,vyèj,St. Lucia
violin,"vyélon,anba gòj",St. Lucia
vinegar,vinèg,St. Lucia
"vine,branch used as a whip","lyenn,fwèt,kavach,fwèt,kavach,lyenn chasè,lyenn dous,lyenn savon,lyenn wid",St. Lucia
village,vilaj,St. Lucia
victory,laviktwa,St. Lucia
"vice, immorality","vis,mal pwòpté,vyé lavi,fè vis,fwékanté,kouché,kouché,pwan,pwan",St. Lucia
"vexed, irritated, cross, annoyed, upset,when you are not speaking with someone because of an unhappy relationship",faché,St. Lucia
"very, very much",joliman,St. Lucia
"very, very much","toubonnman,toubonmnan,toubwennman,toubonnman kon sa",St. Lucia
very bad person,"dévagondé,dévégondé,mové lam,vyé lam,vyé lam",St. Lucia
verse,vèwsé,St. Lucia
"vermin, pest",vèmin,St. Lucia
venom,vlen,St. Lucia
venereal disease,kako,St. Lucia
"vendor, merchant",machann,St. Lucia
vendor,wivandèz,St. Lucia
vein,venn,St. Lucia
"veil,sail",vwèl,St. Lucia
vegetable,lédjim,St. Lucia
"varnish,to varnish",venni,St. Lucia
"various, diverse",divès,St. Lucia
van,vann,St. Lucia
value,valè,St. Lucia
valuable,valowab,St. Lucia
valet,valé,St. Lucia
"vagina of a child, sometimes of an older woman","kòkòt,chè doudou kòkòt",St. Lucia
"vagabond, loafer,wayward","vakabon,dwivayèz,dwivayèz",St. Lucia
vacation,vakans,St. Lucia
uvula,lalwèt,St. Lucia
urine,"pisa,pisa dou",St. Lucia
"upwind,windward side, east",ovan,St. Lucia
upstairs,anhogwiyen,St. Lucia
unto death,olanmò,St. Lucia
"until,as far as, up to","jis,jik,jis a tan,jis lè,jis tan,jisannatandan,jiskatan,jis a tan,jis,jis lè,jis,jis tan,jis tan,jisannatandan,jiskatan,jis,jis lè",St. Lucia
"unpredictable, treacherous, without warning",antwèt,St. Lucia
unmarried young woman,manmzèl,St. Lucia
unless,"anba,èksèpté,èksèpté,tout tan...pa",St. Lucia
unleavened bread,pennépis,St. Lucia
unity,lilyon,St. Lucia
United States,"Anméwik,Lanméwik",St. Lucia
unintelligible utterance,boulòk,St. Lucia
ungrateful,"engwa,mal onnèt,mal onnèt",St. Lucia
unfair advantage,pasyalité,St. Lucia
"understanding, comprehension,opp","lakopwann,inyowans",St. Lucia
underground water pipe,tiyo,St. Lucia
"undercurrent, undertow",vout,St. Lucia
uncle,tonton,St. Lucia
"umbrella, parasol","pawasòl,pawisòl,pawasòl djab,chapo Denmou,chapo djab",St. Lucia
"umbilical cord, navel",lonbwi,St. Lucia
"ugly,opp","lèd,bèl,bèl,joli",St. Lucia
udder,"manmèl,potwin",St. Lucia
tyre,taya,St. Lucia
type of pea similar to snow peas,boukousou,St. Lucia
two,"dé,dé sou",St. Lucia
twin,jimo,St. Lucia
twelve,douz,St. Lucia
turmeric (Curcuma longa),tjitjima,St. Lucia
turkey,kodenn,St. Lucia
tuna,ton,St. Lucia
"try, attempt",kou,St. Lucia
"truth,opp","lavéwité,mansonj",St. Lucia
"trust, confidence, weight, support",api,St. Lucia
"trunk, suitcase",mal,St. Lucia
"truly, really","véwitabman,vwéman",St. Lucia
"truly, in truth, to tell the truth","anvéwité,anvèyté",St. Lucia
TRUE,vwé,St. Lucia
"trough, concrete water tank without a top",bak,St. Lucia
troublemaker,"kankannèz,kankanndèz",St. Lucia
"troubled, upset, distressed",kontwayé,St. Lucia
"trouble, problem","pas,pwòblenm,twaka",St. Lucia
"trouble, mischief","kankan,chikann,aché kankan,aché,aché chikann,aché twen,chikann,lévé kankan",St. Lucia
"trouble, disagreement","dézagwéman,chikann,libenn",St. Lucia
"tropical mockingbird, thrush (Minus gilvus)",gwiv,St. Lucia
tripe,twip,St. Lucia
trip,"voyaj,voyay",St. Lucia
Trinidad,Trindad,St. Lucia
trick,vis,St. Lucia
tribulation,twibilasyon,St. Lucia
trembler: a type of bird that trembles,twanblè,St. Lucia
trellis,tonnèl,St. Lucia
treatment,twètman,St. Lucia
treasurer,twézòyé,St. Lucia
treacherous,twèt,St. Lucia
trap,zatwap,St. Lucia
transparent rubber sandal,djari,St. Lucia
"tranquil, quiet, under control",tjantjil,St. Lucia
"train, cart on rails used to carry sugar cane","twen,loko,aché twen,aché chikann,aché chikann,aché kankan,lévé kankan",St. Lucia
traditional,twadisyonnèl,St. Lucia
tradition,twadisyon,St. Lucia
tractor,trakta,St. Lucia
town,vil,St. Lucia
towel,sèvyèt,St. Lucia
torch,"flanbo,chal",St. Lucia
"top: wooden toy with string wound around it, flung down to spin","topi,topi tanbou,koko tanbou",St. Lucia
tooth,"dan,bay dan,mal palé,dan sajès",St. Lucia
tool for stirring cassava flour,kawèt,St. Lucia
tool,zouti,St. Lucia
"too much, excessively,too much","twòp,tòp,twòp pli",St. Lucia
"tongue,language,what one says","lanng,langaj,langaj,lanng kaka,palapata",St. Lucia
"tomorrow,opp","denmen,yè,denmen si pè ta Dyé,li denmen,?landenmen",St. Lucia
tomcat,makouchat,St. Lucia
tomb,"tonm,tonbo",St. Lucia
tomato,"tanmadòz,ti tanmadòz",St. Lucia
"together, neck and neck","bita,bita bita,tèt a tèt,tèt a tèt,bita bita,bita",St. Lucia
together,ansanm,St. Lucia
toe,zòtèy,St. Lucia
"today (in a general sense), nowadays","jòdi,hòdi,jòdi jou,atjwèlman,jòdi-a",St. Lucia
tobacco,"tabak,tabak djab",St. Lucia
toad,kwapo,St. Lucia
"to yoke,opp","jouké,déjouké",St. Lucia
"to yawn,to stretch, to stretch out of shape",bayé,St. Lucia
"to write,to have the ability to write",ékwi,St. Lucia
to wriggle,lolé,St. Lucia
to wrestle,lité,St. Lucia
"to work,work, job","twavay,djòb,djòb",St. Lucia
"to womanize, to engage in illicit sexual relations",pakouwi,St. Lucia
to wish,"avoudwé,voudwé",St. Lucia
to wish,swété,St. Lucia
"to winnow (rice, etc.)",vanné,St. Lucia
"to wilt, to wither,to ripen off the vine",fennen,St. Lucia
to weigh,"pézé,pézé fò",St. Lucia
to weed,"sèklé,dégwadé",St. Lucia
to wean,sévwé,St. Lucia
to wattle,pawsadé,St. Lucia
to watch,véyé,St. Lucia
"to waste, to squander","gaspiyé,bobansé",St. Lucia
to wash,lavé,St. Lucia
to warn,"vèti,vèti bay",St. Lucia
"to want,to intend, to mean to","vlé,anvi,anvi,vlé di",St. Lucia
"to want, to desire, to feel like,to long, to yearn,to covet","anvi,anwajé pou,vlé,vlé,anwajé dèyè,anwajé pou,ni an waj pou",St. Lucia
"to walk,to work, to function","maché,maché anlè,maché asou,manstipé,pwan lavantaj,maché épi,maché kalpat,halé kalpat,maché piti",St. Lucia
"to wait for, to await","atandé,èspéwé",St. Lucia
"to wait (for), to await,to expect","èspéwé,èspéyé,atandé",St. Lucia
to vote,voté,St. Lucia
to vomit,vonmi,St. Lucia
"to visit, to pay a visit, to see (someone for something)",oti,St. Lucia
to visit,vizité,St. Lucia
to urinate,"pisé,laché dlo",St. Lucia
"to upset, to nauseate","sivotjé,boulvèsé,boulvèsé",St. Lucia
"to uproot,to extract (tooth)","waché,haché",St. Lucia
"to unyoke (ox, cow),opp","déjouké,jouké",St. Lucia
"to untie,opp","démawé,mawé,mawé",St. Lucia
"to untangle,opp","démélé,mélé,mélé",St. Lucia
"to unsew,opp","dékoud,koud",St. Lucia
"to unseal,opp","dékachté,kachté",St. Lucia
"to unsaddle,opp","désélé,sélé",St. Lucia
"to unroll, to unwrap,opp","dévoplé,voplé,voplé",St. Lucia
"to unplug,opp","débouché,débawé,bouché,bouché,jennen",St. Lucia
"to unpack, to uncrowd, to loosen, to pack less densely,opp","défoulé,foulé,foulé",St. Lucia
"to unlock,opp","délaklé,laklé,laklé",St. Lucia
"to unload something from an animal,opp","débaté,déchajé,déchajé,baté",St. Lucia
"to unlatch,opp","détjatjé,tjatjé",St. Lucia
"to unlace,opp","délasé,lasé,lasé",St. Lucia
"to undress,opp","dézabiyé,abiyé",St. Lucia
to understand,"konpwann,kopwann,konpwann kò,mal konpwann",St. Lucia
"to unchain,opp","déchenné,anchenné",St. Lucia
"to unbutton,opp","déboutonnen,boutonnen",St. Lucia
"to unblock, to open, to uncover, to remove barrier or obstacle,opp","débawé,débouché,déjennen,bawé,bawé,jennen",St. Lucia
"to twitch, to stir, to fidget","bwennen,bwennen kò,bay pyé,chapé kò,chapé pyé,fè pyé,fè vit",St. Lucia
"to twist, to wring,warped, twisted","tòd,kòviyé",St. Lucia
"to twist, to kink,twisted, kinked","kòviyé,tòd",St. Lucia
"to turn, to twist,to turn into,over-ripe state of dasheen","tounen,kyanng,nyak,kyanng,nyak",St. Lucia
to turn off,tenn,St. Lucia
"to try, to attempt","éséyé,twiyé",St. Lucia
"to trust, to confide,opp","konfyé,fyé,défyé",St. Lucia
"to trouble,troubled","twoublé,toublé,twakasé,twakasé",St. Lucia
"to trouble, to bother,disturbed, troubled","twakasé,distwé,twoublé,distwé,twoublé",St. Lucia
"to trim,to crack (as a whip)",tayé,St. Lucia
to trim,dolé,St. Lucia
"to tremble, to shake","twanblé,tanblé",St. Lucia
to treat,"twété,mal twété",St. Lucia
to travel,"voyajé,vwéyajé",St. Lucia
to transplant,twansplanté,St. Lucia
"to trample, to tread on","danmé,foulé,foulé,pilonnen",St. Lucia
"to trample, to step on","pilonnen,danmé",St. Lucia
"to touch, to stroke, to handle","manyen,menyen",St. Lucia
to touch,touché,St. Lucia
"to torment, to torture",tòmanté,St. Lucia
"to tire, to weary",lasé,St. Lucia
"to tidy, to clean,to cut grass and brush and clear away trash",nétwayé,St. Lucia
to tickle,"chatwiyé,tjikilik",St. Lucia
to tickle,"tjikilik,chatwiyé",St. Lucia
"to throw, to throw away,to add","jété,bay on so,fésé,fouté a tè,jété pawòl,jété zyé",St. Lucia
"to throw down, to slam down","fésé,bay on so,fouté,fouté a tè,jété,fésé a tè,fésé pyé a tè",St. Lucia
to thrash,"lapidé,bat,bat,bay kou,bay volé,koupé fès,pliché",St. Lucia
"to think, to ponder, to meditate",katjilé,St. Lucia
to the brim,"owa,waz",St. Lucia
to the brim,"waz,owa",St. Lucia
to thank,wimèsyé,St. Lucia
to testify,tèstifyé,St. Lucia
to tempt,tanté,St. Lucia
"to tell, to recount",wakonté,St. Lucia
"to tell on, to tattle",oti,St. Lucia
to telephone,téléfòné,St. Lucia
"to teach, to instruct","enstwi,enswi,titj",St. Lucia
to teach,"titj,enstwi",St. Lucia
to taste,gouté,St. Lucia
"to tangle,tangled, tangled up",tòtiyé,St. Lucia
"to tame, to train an animal (or a child)",donté,St. Lucia
to talk nonsense,bétizé,St. Lucia
"to talk back, to argue",tèsté,St. Lucia
"to take,to carry,to go,to have sex with,to start, to begin, to fall,to start to, to begin to","pwan,pwen,fè vis,fwékanté,kouché,koumansé,mété,pitjé,fè vis,fwékanté,kouché,koumansé,mété,pitjé,pwan pou,mété bay,mété pou,pwan vwa",St. Lucia
"to take shelter from, to escape, to get away from (rain, sun, etc.),to block, to fend off (a blow)",pawé,St. Lucia
"to take down, to unhang,opp","dépann,pann,pann",St. Lucia
"to take care of, to care for, to look after,to worry, to be disturbed or troubled","otjipé,gadé apwé,pwan ka,gadé apwé,pwan ka",St. Lucia
"to take apart, to dismantle,opp","démouté,mouté,mouté",St. Lucia
to take advantage (of),"manstipé,maché asou,pwan lavantaj",St. Lucia
to swing from branch to branch,bwanché,St. Lucia
to swim,"najé,najé saviyon,najé saviyon,najé",St. Lucia
"to swell, to cause to swell, particularly in reference to one's face,bloated, swollen",boufi,St. Lucia
"to swell (in reference to a body part),swollen",anflé,St. Lucia
to sweeten slightly,soumaché,St. Lucia
to sweeten,dousi,St. Lucia
to sweat,swé,St. Lucia
"to swear, to pledge, to vow",sèwmanté,St. Lucia
to swallow,valé,St. Lucia
to survey,apanté,St. Lucia
"to support,to bear, to stand",sipòté,St. Lucia
to suffocate,toufé,St. Lucia
to suffer,soufè,St. Lucia
to suck,sisé,St. Lucia
to succeed,éwisi,St. Lucia
to submit,"simèt,abésé",St. Lucia
"to stun,dizzy, giddy, stunned","toudi,bazoudi,kagou,bazoudi,kagou",St. Lucia
to study,étidyé,St. Lucia
"to struggle, to attempt, to try, to cope, to get by, to muddle through","débat,débwiyé,twiyé",St. Lucia
"to stroll, to wander aimlessly, to roam",dwivé,St. Lucia
"to stroll, to wander","pwonmnen,ponmnen",St. Lucia
"to strive, to try hard, to struggle, to get by, to muddle through","débwiyé,débat,twiyé",St. Lucia
to strip leaves off,dépayé,St. Lucia
"to stretch out, to extend","lonjé,lonji,lonjé lanmen",St. Lucia
"to strain, to exert oneself","pyété,fè fòs kò",St. Lucia
to strain a liquid,koulé,St. Lucia
"to stop, to cease",las,St. Lucia
"to stir,to wind, to dance",wimen,St. Lucia
"to stick, to catch on (something)",ankayé,St. Lucia
"to stick, to adhere, to glue,opp","kolé,dékolé,dékolé",St. Lucia
to step on,pilé,St. Lucia
"to start, to begin,opp","koumansé,mété,pitjé,pwan,pwan,fini,fini",St. Lucia
to starch,anpézé,St. Lucia
"to stand,to stop,to stop doing (something)","doubout,bon doubout",St. Lucia
"to stammer, to stutter",bégéyé,St. Lucia
to stain,taché,St. Lucia
"to stagger, to reel","twilbiché,tilbiché,tizbiché",St. Lucia
"to squeeze,bruised (in reference to fruit)",pijé,St. Lucia
"to squat, to stoop",akoupi,St. Lucia
"to sprinkle water on, to water",wouzé,St. Lucia
"to spread, to scatter, to sow","simen,simèwjé,simen gwenn,simen kouyon,simen kouyon,simen gwenn",St. Lucia
to spread by multiplication,"pléplé,miltipyé",St. Lucia
"to sprain,sprained",denmi,St. Lucia
"to spoil,spoiled,spoiled, in the sense of overindulged",gaté,St. Lucia
"to split,to cut open a body to perform an autopsy,split, cracked",fann,St. Lucia
to split at crotch,défouké,St. Lucia
"to spit,spit and image, exact likeness","kwaché,papa'y tjwa",St. Lucia
"to spill,to pour (in reference to rain)",dévidé,St. Lucia
"to spend wildly, to waste","bobansé,gaspiyé",St. Lucia
to spend,dépansé,St. Lucia
"to speak, to talk,talk, chat","palé,mal palé,bay dan,chayé pawòl,lavé épi lanng,palé moun mal,palé moun mal,mal palé",St. Lucia
"to spare, to be gracious to",gwasyé,St. Lucia
"to soil, to dirty","sali,sali non,dékwiyé,mépwizé,nwèsi non",St. Lucia
"to soften,soft",mèltwi,St. Lucia
"to soften,opp","moli,wèdi",St. Lucia
"to soak,soaked",twanpé,St. Lucia
to snore,wonflé,St. Lucia
to sneeze,èstenné,St. Lucia
"to smoke (a cigarette, cigar, pipe)",fimen,St. Lucia
to smile,souwi,St. Lucia
to slit,flandjé,St. Lucia
"to slide,slippery",glisé,St. Lucia
to sleep,"dòmi,kouché,anvi dòmi",St. Lucia
"to slander, to defame","dékwiyé,mépwizé,nwèsi non,sali non",St. Lucia
"to skin, to abrade,wrinkled","gwiji,pliché,plisé,pliché,plisé",St. Lucia
"to sit (on, in reference to chickens and eggs)",kouvé,St. Lucia
to sit,"asiz,asid",St. Lucia
"to sing,to crow,song","chanté,chanson,chanson",St. Lucia
"to sin,sin, transgression",péché,St. Lucia
to sign,siyé,St. Lucia
to shroud (corpse),anslivi,St. Lucia
"to shrink,opp","étwési,gwandi,ogoumanté,pwofité",St. Lucia
"to show,to teach","moutwé,moutjwé",St. Lucia
to shoot with a firearm,fiziwé,St. Lucia
to shoe (horses),féwé,St. Lucia
"to shine, to give light, to illuminate",kléwé,St. Lucia
to shave,wazé,St. Lucia
to sharpen (wood),pwenti,St. Lucia
to shame,"jawé,fè afon,fè hont,tjipi",St. Lucia
to shake,"soukwé,soukwé lanmen,soukwé zépòl",St. Lucia
"to sew,opp","koud,dékoud",St. Lucia
"to set upright again, to restore to upright position,opp","déchaviwé,dématé,chaviwé,maté",St. Lucia
"to set upright again, to restore to upright position,opp","dématé,déchaviwé,chaviwé,maté,maté",St. Lucia
to set (a trap),tann,St. Lucia
"to serve,to use","sèvi,mal sèvi",St. Lucia
"to send,to throw","voyé,vowé,vwéyé,voyé alé",St. Lucia
"to send out smoke,to fumigate",pafimé,St. Lucia
"to seize,astonished, astounded, amazed, surprised","sézi,bédji,étonnen,sipwi,soté,bédji,étonnen,sipwi",St. Lucia
"to seine, to fish with a seine",sennen,St. Lucia
to see,wè,St. Lucia
"to season,seasoned,hardy, resilient",sizonnen,St. Lucia
"to seal (envelope, etc.),opp","kachté,dékachté",St. Lucia
to screw,visé,St. Lucia
"to scratch, to scrape,to itch",gwaté,St. Lucia
"to scoff, to ridicule","fiyonnen,pwan sèvi papicho",St. Lucia
to scatter,"simèwjé,simen",St. Lucia
"to scare, to frighten",fawouché,St. Lucia
"to scale (a fish),scaly",kayé,St. Lucia
to scald,chodé,St. Lucia
"to say,to tell",di,St. Lucia
to saw,"siyé,siyé dlo,koupé dlo",St. Lucia
"to save,opp","sové,danné",St. Lucia
"to sauté, to stew,stewed",wousi,St. Lucia
to satisfy without filling when eating,wipinyé,St. Lucia
"to salt,salty",salé,St. Lucia
to sail,navidjé,St. Lucia
"to saddle,opp","sélé,désélé",St. Lucia
"to rust,rusty",wiyé,St. Lucia
"to run,to flow","kouwi,kouwi dèyè,bay lapouswiv,chaché,fè fann kann,fè kwazé bwa,fè kwazé wazyé,fè pwan an bwa,fè pwan lavòl,kouwi vyé lavi",St. Lucia
"to run (in reference to dye), to fade,opp","détenn,tenn",St. Lucia
"to rub, to massage","fwoté,foté",St. Lucia
"to rub with oil, ointment, liniment",fiksyonnen,St. Lucia
to rough up,"bwitalizé,bwizé",St. Lucia
to rough up,"bwizé,bwitalizé",St. Lucia
to root (in reference to pigs),labouwé,St. Lucia
"to roll,to roll, to roar, to crack, to sound (in reference to thunder)",woulé,St. Lucia
"to roast,roasted","woti,oti",St. Lucia
"to rip, to tear",déchiwé,St. Lucia
"to ring, to sound",sonnen,St. Lucia
"to revolt, to rebel",wivòlté,St. Lucia
"to reverse, to back (up)",bak,St. Lucia
to reveal,wévélé,St. Lucia
"to resurrect, rise (from death)",wésisité,St. Lucia
"to rest, to relax,to alight, to land,to take the first move in dominos",pozé,St. Lucia
to respect,wèspèkté,St. Lucia
"to resound, to burst, to reverberate, to echo",éklaté,St. Lucia
to resell,wivann,St. Lucia
to reproach,wipwoché,St. Lucia
to represent,"wépwézanté,mal wépwézanté",St. Lucia
to replace,"anplasé,wiplasé,pwan plas,pwan plas",St. Lucia
to repent,wépanti,St. Lucia
to repeat,wépété,St. Lucia
"to repair, to fix","wanjé,ganmé",St. Lucia
"to rent, to let",lwé,St. Lucia
to render a witch powerless,"dégajé,pitjé,pitjé",St. Lucia
"to remove, to take off,opp","tiwé,tiyé,mété,mété,tiwé kò,koupé ba,tiwé kò'w la,tiwé mété",St. Lucia
"to remove nails,opp","déklouwé,klouwé",St. Lucia
"to remove a hem, a stitch (in sewing)",défiltwé,St. Lucia
to remove,witiwé,St. Lucia
"to remember, to recall,opp","chonjé,waplé,obliyé",St. Lucia
"to remain, to stay,to live, to reside,to be left, to remain,to have left, to have remaining","wèsté,wété,wézidan,wézidan,wèsté byen,wèsté tjantjil,wèsté san manjé,fas,fè ajen,wèsté tjantjil,wèsté byen",St. Lucia
"to relieve, to ease, to comfort, to alleviate",soulajé,St. Lucia
to rejoice,"wéjwi,widjèwté",St. Lucia
to rejoice,"widjèwté,wéjwi",St. Lucia
to reject,widjèkté,St. Lucia
to regret,"wigwété,igwété",St. Lucia
to register,wéjistwé,St. Lucia
"to regard, to consider to be, to treat as",wégadé,St. Lucia
to refuse,wifizé,St. Lucia
to reflect,wéfléchi,St. Lucia
to refill,wiplen,St. Lucia
to receive,"wisivwè,wisouvwè,antwé,jwenn",St. Lucia
to reason,wézonnen,St. Lucia
"to reap, to harvest,opp","wékòlté,planté",St. Lucia
to realize,wéyalizé,St. Lucia
to read,li,St. Lucia
to rape,"anvyolé,asapwé,jwi,jwi",St. Lucia
"to raise,opp","hosé,bésé",St. Lucia
to raffle,waflé,St. Lucia
to question,"kwèsyonnen,tjèsyonnen",St. Lucia
"to quarrel, to squabble","babyé,halé kasé,tiwé mété",St. Lucia
to put in the oven,anfouné,St. Lucia
to put a lid on,bouchonnen,St. Lucia
"to put a handle on,to unite, to join together",manché,St. Lucia
"to push,to sprout",pousé,St. Lucia
to purify,piwifyé,St. Lucia
to punish,pini,St. Lucia
"to pull,to pick up,to massage, to rub (in reference to finger)","hédi,wédi,anmasé,halé,hapé,halé,anmasé,hapé,hédi dèyè,hédi kò,halé kò,witjilé",St. Lucia
"to pull away, to withdraw","witjilé,halé kò,hédi kò",St. Lucia
to pull,"halé,hédi,hédi,halé kalpat,maché kalpat,halé kasé,babyé,divizyon,tiwé mété,tiwé mété,halé kò,hédi kò,witjilé",St. Lucia
"to puff up,to puff up one's face in anger,to swell (in reference to waves)",gonflé,St. Lucia
to publish,pibliyé,St. Lucia
"to prune, to cut off branches",débwanché,St. Lucia
to provoke,"pwovoké,povoké",St. Lucia
to provide,potjiwé,St. Lucia
to protect,"pwotéjé,potéjé,pwotèkté",St. Lucia
to protect,"pwotèkté,potèkté,pwotéjé",St. Lucia
to prosper,"pwòspéwé,pòspéwé",St. Lucia
"to promise,promise","pwonmèt,ponmèt",St. Lucia
to profess,pwofèsé,St. Lucia
to produce,"pwodwi,podwi",St. Lucia
to proclaim,"pwoklanmé,poklanmé",St. Lucia
to prime,sali,St. Lucia
"to prick, to stab,to sting,to render (a witch) powerless by stabbing or stoning,to goad, to egg on,to begin to,injection","pitjé,dégajé,kwévé,mété,pwan,dégajé,koumansé,mété,pwan",St. Lucia
to prevent,anpéché,St. Lucia
to preserve,"konfi,konsèvé,konsèvé,pwézèvé",St. Lucia
to preserve,"pwézèvé,pwézòvé,konfi,konsèvé",St. Lucia
to present,pwézanté,St. Lucia
"to prepare, to make preparation, to get ready","fè ganm,fè pwovizyon,pwépawé",St. Lucia
to prepare,"pwépawé,fè ganm,fè pwovizyon",St. Lucia
"to prefer,it would have been better, preferable","simyé,vonmyé,vòtòmyé,vonmyé",St. Lucia
to preach,"pwéché,pwédiké",St. Lucia
to preach,"pwédiké,pwéché",St. Lucia
to pray,"pwédyé,pwiyédyé",St. Lucia
