word,creole_word,creole_name
Animal, anumanu,Nigeria
Wild animal, anuofia,Nigeria
This is used to describe someone who is playing football and kicks the ball in random directions ..., anywhere belle face,Nigeria
Gossipsee: Amebo, apkroko,Nigeria
a person who mix paint, apoda,Nigeria
someone who pokes his/her nose into other people\'s affairs. , aproko,Nigeria
same as word arranged, arangee,Nigeria
1. neighborhood  2.familiar person or friend, area,Nigeria
Local tout. very rough and uncivilized person., area boy,Nigeria
Hooligans touts that do nothing but loitering around the neighborhood and basically make a thei..., area boys,Nigeria
suga daddya man dating a girl who is young enough to be his daughter, aristo,Nigeria
sugar daddies or mummies - rich old men and women who date younger people, aristos,Nigeria
1. Make your own arrangements  2. Everyman to himself. , arrange yua sef,Nigeria
stupid person, arro,Nigeria
a very daft and stupid person, arrow,Nigeria
A trend or something trending., as e dey hot,Nigeria
Expression used to ask for clarification literally\'Meaning what?\' Can also be used in a sarc..., as in,Nigeria
An exclamationused when frustated or surprised., as in eh,Nigeria
Walnut (fruit), asala,Nigeria
As fast as prosible, asap,Nigeria
A woman who engages in sexual intercourse for money, ashana,Nigeria
1.prostitute 2.Loose girl, ashawo,Nigeria
"Prostitute,Slut,Whore..And sometimes the word is used if you flirt alot", ashewo,Nigeria
"Prostitute,wayward girl.", ashy.,Nigeria
These are outfits made from matching/identical fabrics as a uniform in parties weddings and fune..., aso ebi,Nigeria
see: for where. 1. this means no way OR not easily possible. 2. can be used as another way of say..., at all,Nigeria
Atiku is a \'multipurpose\' word which can be used to mean two different but similar things e.g d..., atiku,Nigeria
An ugly being, atutupoyoyo,Nigeria
"swiftly,smoothly,or successfully", awara awara,Nigeria
"A condensed version of ""how are you""", awayu,Nigeria
Staying up late a night till day break., awoko,Nigeria
Free stuffcharity , awoof,Nigeria
Free stuff or highly discounted stuff., awuuff,Nigeria
A cry of astonishment. This is usually used when something has gone pear-shaped or haywire, ayakata,Nigeria
1:Filthy!  2:Yuck! 3:Disgusting 4:Gross, ayama,Nigeria
Prostitute, ayangba,Nigeria
Buttock, azama,Nigeria
a style of dance, azonto,Nigeria
isn\'t it, ba,Nigeria
This is another word for father, baba,Nigeria
A daily  lottery , baba ijebu,Nigeria
1. A term of endearment between women., babe,Nigeria
1. derogatory termfoolish person 2. The animal baboon, baboon,Nigeria
To slap someone with the back of your hand, back hand,Nigeria
see ikebe, backyard,Nigeria
A delicious part of pig, bacun,Nigeria
to hold a grudge/ to envy someone, bad belle,Nigeria
too bad in a good way, bad gan,Nigeria
Speak maliciously about someone., bad mouth,Nigeria
"MalicePlayer hater,", bad-belle,Nigeria
1. Someone who is highly respected or seen as very good at what they do., baddo,Nigeria
A bad person. Could also mean being good in what you do. depends on the context, bado,Nigeria
Someone who is extremly bad esp. Socially, badoo,Nigeria
"Same as the word ""Baddo"". Check ""baddo"". Means to be a bad/tough guy", badoski,Nigeria
BathThe process of cleaning ones self. Could be a shower or bath, baff,Nigeria
Dress upespecially in flashy clothes., baff up,Nigeria
clothes, baffs,Nigeria
rubbish, baggish,Nigeria
Money, bah,Nigeria
Ass or buttock, baka,Nigeria
Booty, bakassi,Nigeria
Have sexual intercourse, bala,Nigeria
Something that is good, bam,Nigeria
To have sex, bang,Nigeria
fireworks, banga,Nigeria
A kind of local stew made from boiled palm fruits., banga soup,Nigeria
Popularly knows as knockouts. They are fire crackers blown up during christmas and new year period., banger,Nigeria
bangers world is a music group or record label in nigeria, bangers world,Nigeria
A young Girl. #street slang for girlfriend#, bani,Nigeria
A girl. A person's gilfriend., banny,Nigeria
Fierce fight between two people or groups., banta,Nigeria
Na wen persin dey enter persin unto play play level., banter,Nigeria
This can be used to describe something that is spoiledwrong or bad. Yoruba Origins, baraje,Nigeria
, barawa,Nigeria
A yoruba term meaning thief., barawo,Nigeria
cutting or shaving ones hair. usually refers specifically to cutting with clippersas opposed to..., barb,Nigeria
barber\'s shop, barbing salon,Nigeria
a girl, barny,Nigeria
A phrase used to validate your conclusion., based on logistics,Nigeria
party or to hit something., bash,Nigeria
A wooden plank house., batcher,Nigeria
rubber flip-flops. they are sometimes worn while bathing in general bathrooms (e.g. boarding scho..., bathroom slippers,Nigeria
To smoke. Usually a cigarette or marijuana., baz,Nigeria
This refer to penis, bazuka,Nigeria
too forward, bebescout,Nigeria
Referring to the famous Brazilian football player José Roberto Gama de Oliveira also known as Beb..., bebeto,Nigeria
(also see bia bia), beer-beer,Nigeria
it was expected, before nko,Nigeria
 One who always begs, beg beg,Nigeria
This means stomach, belle,Nigeria
Fullfrom eating to your heart\'s content. Not able to eat more., belle full,Nigeria
A form of second hand attire, bend down,Nigeria
fairly used clothes for sale. Its usually spread on mat for passers by to buy. see orkrika, bend down boutique,Nigeria
2nd hand clothing sold by the roadside, bend down select,Nigeria
abundantplentifulin excess, berekete,Nigeria
"an urban way of saying ""better"".", berra,Nigeria
a way to express that there\'s enough money..., berry don black,Nigeria
a way to express that you\'re not wealthy enough yet., berry never black,Nigeria
(adjective) used to describe a responsible or sensible person. , beta pikin,Nigeria
1. Good times  2. Improvement, betta,Nigeria
Beards., bia bia.,Nigeria
because, bicos,Nigeria
The reason is?, bicos why,Nigeria
long time ago, bifor bifor,Nigeria
What did you expect?, bifor nko,Nigeria
Long time ago. , bifor-bifor,Nigeria
greedy, big eye,Nigeria
A rich man, big man,Nigeria
A woman of importance or reputation gained by ability or achievement, big woman,Nigeria
An igbo word meaning please, biko,Nigeria
pidgin word which is used in different ways to indicate that a verb is in the past tense., bin,Nigeria
This is a generic name for a dog., bingo,Nigeria
Biscuit, bisko,Nigeria
Someone DAT gossips a lot.  Someone that get into others business, bizzy body,Nigeria
Fireattack or shoot with full force and no hesitation, blast scatter,Nigeria
Cannabis, blaw,Nigeria
This word refers to the male genitaliaspecifically the scrotum balls., blocos,Nigeria
scrotum, blokkus,Nigeria
Blom Blom is a balloon, blom blom,Nigeria
Balloon , blom blow,Nigeria
Bloodly is a word which means deadly the word is mostly used in fight., bloodly,Nigeria
speaktalk, blow,Nigeria
to send something invisibly., bluetooth,Nigeria
Up en down, bob,Nigeria
Breasts (particularly sexually arousing ones), bobbie,Nigeria
breastboobs, bobby,Nigeria
big breast for a womanstriking breast, bobie,Nigeria
Trendy Guy, bobo,Nigeria
Cassava chips, bobozee,Nigeria
I\'m surviving, bodi dey inside clothe,Nigeria
Not giving a damnnot showing care(used in southern nigeriaesp edo state and delta), boil beans,Nigeria
Hide and seek game, boju boju,Nigeria
plentysurplus, boku,Nigeria
roasted plantain. it\'s a popular snack eaten with groundnut or hot oil., boli,Nigeria
1.fool.2 silent person., bolo,Nigeria
"Hairless,Bald.", bololo.,Nigeria
A baby boi, bom boi,Nigeria
a male child. Also a male adult who behaves like a child or who is not man enough., bomboy,Nigeria
This is the name give to a woman that gives birth to a male child, bon boy,Nigeria
to frown or to forget about something or someone, bone,Nigeria
Dark glasses or sunglasses., bones,Nigeria
1. A kind of blackened dried fish used to prepare local soups 2. Fool, bonga fish,Nigeria
It is a new word for Nigeria see naija. The word Bongo is derived from Bongo drums or bongos whic..., bongo,Nigeria
1.To be freshbeautiful 2. Very good, bonz,Nigeria
"Boo means ""to express love for your spouse by taking up marital responsibilities before marriage.""", boo,Nigeria
Library, book haus,Nigeria
drunkard, booze man,Nigeria
plentylots, borku,Nigeria
male infant, born boy,Nigeria
to flee from trouble., borrow leg,Nigeria
Showing off with stuff that is not yours., borrow pose,Nigeria
AntagonistThe bad guy in a movie, boss,Nigeria
an extreme suegbe, bosun,Nigeria
trendy version of ajebutter. refers to someone who has been over-pampered. someone from a wealthy..., botty,Nigeria
Childhood disease caused by deficiency of vitamin D and sunlight associated with impaired metabol..., bow leg,Nigeria
means you amaze me, bow na u,Nigeria
A poser. Guy that is trendyhip and likes to show off, boy yoyo,Nigeria
someone who shows off or a booster..., braga,Nigeria
to lie, bread,Nigeria
When there is an abundance of something., brekete,Nigeria
British or english, brikito,Nigeria
Brother, broda,Nigeria
Nepotism, broda-broda,Nigeria
part of the male private partScrotum, brokkus,Nigeria
1. Cooked cow's foot., brokoto,Nigeria
1. Broken englishpidgin english, brokun,Nigeria
1. Brother 2. Someonoe that is trying to feel among but is excluded from a coversation or a circl..., bros,Nigeria
When you get into/ join a fight and you dont even know what it is about., bros fighting,Nigeria
When someone is laffing at something they dont understand in order to feel among., bros laffing,Nigeria
It can be said when talking to or talking about a person(male), bross,Nigeria
A term of endearment you say to someone who you consider a close friend., brotherly,Nigeria
Traditional nigerian blouse , buba,Nigeria
To bragto be excessively proud and boastful of one's achievements or possessions., buga,Nigeria
The fear of Buhari been elected in the future elections, buhalectophobia,Nigeria
a small building alone the road side where people go to eat. canteen, buka,Nigeria
a cafeteriacanteenor simple eating-place., bukateria,Nigeria
1. roadside restaurant see: mamaput, bukka,Nigeria
1. Horse Whip see: koboko, bulala,Nigeria
See arrow (entry 2), bullet,Nigeria
Aphrodisiac, buran tashi,Nigeria
bread, buredi,Nigeria
short for \'burnt reputation\'. used to mean that one has been disgraced or ones reputation has ..., burnt rep,Nigeria
1. Unsophisticated man, bush man,Nigeria
a very local girl, bushmo,Nigeria
People who do not mind their business., busybody,Nigeria
1. Bushy beard, byah byah,Nigeria
also spelled KABU KABU. This is an unregistered taxi cab operating illegally. Not painted in offi..., cabu-cabu,Nigeria
short form for cafeteria. Usually the kind found on secondary school and university campuses, caff,Nigeria
to where clothes usually to dress up for an ocassion or function, cak,Nigeria
not be able to exist, cannur,Nigeria
Look alike or replica , carbon copy,Nigeria
Word used to define how powerful a generator is in terms powering appliances., carry,Nigeria
a chant sang to a person caught stealing, carry and go,Nigeria
1.Go ahead. 2. Help your self., carry go,Nigeria
Cardboard box of any form, carton,Nigeria
1.Trouble. 2.Problem., casala,Nigeria
(1)A womaniser, casanova,Nigeria
To entertain one\'s self usually at the expense of another., catch trips,Nigeria
compact disc, cd plate,Nigeria
brand new, cha cha,Nigeria
not at all. Used for emphasis of a negative statement. (Frequently used amongst Igbo speakers), cha-cha,Nigeria
Smoking, chaf,Nigeria
What!, chai,Nigeria
Usually exclamation used to express grief surprise disappointment and anger e.t.c see also choi, chai!,Nigeria
An exclamation, chaii,Nigeria
Term used to describe a guy., chairman,Nigeria
Cheating someone., chance,Nigeria
Another way for saying twenty Naira in Nigeria pidgin. , chandi,Nigeria
This was a slang used by All Progressive Congress (APC) in 2015 campaign rallies before next leve..., change,Nigeria
A. To change an article or something  B. To change someones fate without his or her intention.  , change am,Nigeria
a beautiful girl, chappy,Nigeria
Something u tell someone when he say something stupid or incorrect word or strange wordits just..., char,Nigeria
to drink alcoholget drunk, chark,Nigeria
Originates from Ghanait mean Friend., charlie,Nigeria
Awesomevery nice, chasis,Nigeria
Wow!, chei,Nigeria
exclamation or sign of sympathy. Usually for something bad., chey,Nigeria
"It means experienceor having witnessed something or be a victim of a circumstance. ""Chi chon ch...", chi chon chi,Nigeria
Easy, chice,Nigeria
" A beautiful,sexy girl", chickala,Nigeria
young pretty looking lady, chickito,Nigeria
a girl or babe, chika,Nigeria
A girl. see chickito, chikala,Nigeria
"chillin or relaxing somewhere outside ur area or to calm someone\'s anxiety,fear or eagerness.", chilax,Nigeria
1.chill out 2.relax, chillax,Nigeria
A state of good health like a frisky young lamb., chim chim,Nigeria
to chin (verb) To ignore another personespecially on purpose., chin,Nigeria
Chinese or a chinese individual, chinco,Nigeria
China, chinco land,Nigeria
Jesus, chineke,Nigeria
chewing gum., chingum,Nigeria
This word is used to describe chineese people or people of the asian race, chinko,Nigeria
A word that represent money, chiz,Nigeria
weedmarijuana, choco,Nigeria
stab, chook,Nigeria
to eat, chop,Nigeria
to fail at something, chop beans,Nigeria
"To be satisfied. This literally translates to ""eat till stomach is full""", chop belle full,Nigeria
To put on weight, chop burger,Nigeria
to get pregnant, chop cockroach,Nigeria
mutual corruption, chop i chop,Nigeria
fist bumpa kind of greeting similar to high five., chop knuckle,Nigeria
to increase in wealthstatus or body size. move up, chop up,Nigeria
"used to describe someone who is very ugly. it\'s a pidgin equivalent of \""hit by the ugly stick\""", chop wowo lick plate,Nigeria
to eatfeed , chow,Nigeria
to have sex. to stab someone, chuk,Nigeria
Spikes or sharp object, chuku-chuku,Nigeria
TO cheat  Carrying exam answers into the exam, chukuli,Nigeria
Pieces of paper containing answers smuggled into an exam venue to aid in cheating., chukuli.,Nigeria
Any building of worship., church,Nigeria
"Church Bwoiz Nation is a Nigerian record label founded in 2021 by Agidi catholic church boys,
th...", church bwoiz nation,Nigeria
To woo someone of the opposite sex , chyke,Nigeria
1.BE PROUD OF YOURSELF 2.WELL DONE, clap for yourself,Nigeria
"to create a space for someoneon the other hand it can also mean ""to hail someone""", clear road,Nigeria
An officer of the lawyer. Usually refers to a policeman., coatie,Nigeria
empty headof low intelligencea foolan academic failure, coconut head,Nigeria
To lie (lying), code,Nigeria
1.a person who did something which no one around him or her notice.2.silently.3.gently, coded,Nigeria
discretely, codedly,Nigeria
this is the short form for Coca-colathe popular brownish-black drink., coke,Nigeria
act of working jointly, colabo,Nigeria
Pigin for Collaborate, collabo,Nigeria
to loose ones mindbecome crazy, colo,Nigeria
"See ""Kolobi"".", colobi,Nigeria
to confuse someone or distract someone, color b,Nigeria
To have have sex with a lady, combing ,Nigeria
Come dine or eat, come chop,Nigeria
Go away or get out, commot,Nigeria
to leave a place, comot,Nigeria
1. Make way 2. Get away!, comot for road,Nigeria
to get soft mind, compassion,Nigeria
Land surrounding a fenced house/houses, compound,Nigeria
Means Confirm or a way of showing integrity and assuarance, confam,Nigeria
see correct 1. something or someone with a good reputation, confirmed,Nigeria
campus fraternity , confra,Nigeria
To dupecommit fraud or decieve, coni,Nigeria
Horny., conji,Nigeria
To hit a persons head with clenched fingers., conk,Nigeria
GIRLFRIEND, conscience,Nigeria
to speak to someone, control,Nigeria
A term used when someone is taking a situation too personally., control p,Nigeria
Calm down , cool down ,Nigeria
1. Control your temper! 2. Title of song by Nigerian saxophonist Lagbaja. , coolu temper,Nigeria
Graduate fresh out of the university and serving in a cooperation temporary. , copper,Nigeria
1. unoriginal person 2. see follow follow, copy copy,Nigeria
to do something sly, corner-corner,Nigeria
A way of expressing something is good, correct,Nigeria
Nail polish, cortex,Nigeria
bottle cap, counta,Nigeria
To respond or to counter attack, counter blast,Nigeria
to discipline or punish someone to remind them to behave well, couple,Nigeria
hard slap using the whole of your palm and fingers, cover slap,Nigeria
Refers to the bust of women especially those with large bust, cowbell,Nigeria
local way of pronouncing crayfish., cra-fish,Nigeria
Telling someone craise or craize in pidgin is also telling someone that he/she is mad/crazy., craise,Nigeria
To memorise or read, cram,Nigeria
1. mentally unbalanced2. acting out of the norm, crase,Nigeria
to sleep, crash,Nigeria
Skin disorder that causes itchy rashes , craw-craw,Nigeria
insane or stupid. , craz,Nigeria
having or showing a very abnormal or sick state of mind, craze,Nigeria
A guy who is a show-off. Somebody who likes to show off clothesmoneyetc., cream boy,Nigeria
Being the best “creme de la creme“ in whatever you do, creaminal,Nigeria
A prison or jail house., crench,Nigeria
We are having so much fun!, cruise,Nigeria
Use excessively, cruz,Nigeria
somebody who cries too muchor easily. Usually a baby. This is used sometimes to tease babies in..., cry-cry,Nigeria
(Specifically:) A con man. , cunnyman,Nigeria
A football term in which a player dribbles by performing a fake shot (box and x) and manages to e..., cut,Nigeria
a term that signfies ones respect for someone or something, cut cap,Nigeria
When u like something so much, cut neck,Nigeria
Pidgin English phrase often used to refer to a hurried escape., cut out,Nigeria
Spoil, dabaru,Nigeria
Dreadlocks , dada,Nigeria
To scatter somewhere or something , dagbaru,Nigeria
Fake. Something that has been forgedfalsified or done in an inappropriate way and manners., dagbo,Nigeria
used to describe an ugly busmost of which are VW Combi buses or really old school buses that ha..., danfo,Nigeria
Bus driver, danfo driver,Nigeria
fight, danga,Nigeria
To give a gift or bride, dash,Nigeria
That, dat,Nigeria
phrase of dismissal to show that something is not practical or too complexor maybe just impossi..., dat one na grammar,Nigeria
am, de,Nigeria
continue going, de go,Nigeria
Testicles., deez nuts,Nigeria
to die or get killed, delete,Nigeria
Them, dem,Nigeria
hearsay gossipers or rumor mongers, dem say dem say,Nigeria
Je viendrai demain pour apporter les meubles , demain,Nigeria
A big fool, dembele,Nigeria
This word means to show off, denge,Nigeria
Posing or showing off, denge pose,Nigeria
total stupid person, depe,Nigeria
1. to beor to be alive 2. in the process of doing something, dey,Nigeria
they have said it, dey don talk am,Nigeria
keep going or leave, dey go,Nigeria
show offbehaving as if not concerned or interested, dezgi,Nigeria
Their, dia,Nigeria
so muchtoo much, die,Nigeria
to end a situation or a discussion , die am,Nigeria
forget the matter or bone the talk, die it,Nigeria
"Street slang meaning \""Shut up\"".", die-it,Nigeria
This, dis,Nigeria
to steal, disarm,Nigeria
to overreact , dive,Nigeria
hurry up, do quick,Nigeria
fried plantain (ripe plantain only), dodo,Nigeria
To have sex with., doke.,Nigeria
a dumb person, doll baby,Nigeria
houseabode, dommot,Nigeria
Your areayour main living quarters. It's never a house sha. Usually lived in by university stud..., domot,Nigeria
past tense. to have completed something, don,Nigeria
The correct thingthe truth or the way forward., doro,Nigeria
1.to get drunk 2. dirty, dorti,Nigeria
means: Dirtinessor when something is always dirty, doti-doti ,Nigeria
to have sexual intercourse. Usually of the mind blowing way or to someone surprise, dox,Nigeria
to move asidemake room, dress,Nigeria
To instigate or be the cause of someone or something going away, drive,Nigeria
some who is hired to drive a person/family aroundchauffeur, driver,Nigeria
Arogant, drude,Nigeria
Means not funny or not inseresting, dry,Nigeria
To copy, dub,Nigeria
black, dudu,Nigeria
"The sound of a heart beat
""it's the beat of your heart or the beat of the drums you move your bo...", duduke,Nigeria
Your bored or something is boring, dulling,Nigeria
Local ice cream Substandard ice cream, dumadu,Nigeria
Stupid or idiot, dundee united,Nigeria
To blow something or someone out of the water. Usually used to express the incomparable gap betwe..., dust,Nigeria
"Pidgin English term often interchangeable with \""e get as e be\"". Term used to describe special o...", e be as e get,Nigeria
It seems that, e be like say,Nigeria
U say this when something shocks someone., e choke ,Nigeria
It is rare/difficult, e dey hard,Nigeria
the worst has happened or a situation in which you are in the worst case scenaio, e don be,Nigeria
It is enough, e don do,Nigeria
means its getting serious or real.. used mostly when in reference to a fight..., e don red,Nigeria
long timeit\'s been a while, e don tey,Nigeria
suspicious or hard to believe, e get as e be,Nigeria
1:strange 2:There\'s something odd about it., e get as e bi,Nigeria
good bye, e go be,Nigeria
synonymous to \'challenging or difficult situation\', e go tay,Nigeria
It has not been long, e neva tey,Nigeria
it is not, e no dey,Nigeria
It is not easy, e no easy,Nigeria
it shall not be well with you, e no go beta for you,Nigeria
1. Nearly  2. Almost. , e remain small,Nigeria
1. He 2. She, e.,Nigeria
Very early in the morning, early momo,Nigeria
"A solid Nigerian meal made from Garri and hot water,consumed along with a soup", eba,Nigeria
Effizzie simply means style, effizzie,Nigeria
"A genius,a Brilliant person,Someone who studies a lot. ", efiko,Nigeria
Showing offhaving a lot of style, efizy,Nigeria
A guy who engages in dangerous play or assignment who is at risk getting wounded, efrebo,Nigeria
Streets or Main town, egboro,Nigeria
Be carefulyou are about to enter into trouble, egungun be careful na express you dey go,Nigeria
Bribe, egunje,Nigeria
1. Melon seed, egusi,Nigeria
NoNot at all, eh eh,Nigeria
1.Sorry 2. What a pityhow touching, eh yah,Nigeria
1.is that so / is that it, eheh,Nigeria
"Ehmycool is a talented Afropop singer from Church Bwoiz Nation,
He is an Idoma boy from Benue st...", ehmycool,Nigeria
What? sometimes used as an exclamation, ehn,Nigeria
Police, eke,Nigeria
The police.  A police man., ekelebe,Nigeria
see busybody, ekey,Nigeria
Lagos, eko,Nigeria
to minimize or to use wisely, ekonomik,Nigeria
Big bossom, ekuleku,Nigeria
Boss of all Bosses. , eleniyan,Nigeria
pussy, emana,Nigeria
a bucketmade from enamels., enamel,Nigeria
house, ends,Nigeria
Enter, enta,Nigeria
stolencant be found, enta voicemail,Nigeria
(1) To have sex with a female (2) To beat the hell out of a person  , enter,Nigeria
Means broken, enugbe,Nigeria
Enemy of progress, EP,Nigeria
help, epp,Nigeria
a very pretty lady., erema,Nigeria
A type of friend-zone where someone is mentally attracted to another person but physically not., erica,Nigeria
A exclamation of excitementespecially after doing something well., ewey!,Nigeria
Goat, ewu,Nigeria
the person u brockup with, ex,Nigeria
enough, excess,Nigeria
"stupidity,wrongs", excesses,Nigeria
Illegal access to a test or exam, expo,Nigeria
Used as pitysometimes it's sarcastic sometimes it's not, eyahhh,Nigeria
spectacles, eye glass,Nigeria
will come back to reality, eye go come down,Nigeria
it means to be serious and desperate over a thing or a situation, eye red,Nigeria
meaning -free of charge, f.o.c,Nigeria
It is a form of exclamation, fa,Nigeria
The pleasure felt when having a good time, faaji,Nigeria
Lie, faboo,Nigeria
An unimaginable/unbelievable lie , fabu,Nigeria
to leave or ignore, face,Nigeria
1. Old Little houses usually built facing each other mostly occupied by students and low class ci..., face me i face you,Nigeria
father, fada,Nigeria
To Laze about, faf,Nigeria
refers to a chicken hearted person or someone who behaves like a fool, fairy,Nigeria
to perform below par or nor to reach expectations, fall hand,Nigeria
To act immature, fall hands,Nigeria
disappoint me, fall my hand,Nigeria
To act as if you  are a friend to someone that doesn\'t know you espto a celebrityfor people ..., famz,Nigeria
To steal see: tap, fap,Nigeria
This means to forget or ignore, fashi,Nigeria
forget or ignore something or someone., fashie,Nigeria
Firecooker or stove, faya,Nigeria
i was afraid , fear catch me,Nigeria
Means don\'t you have respect, fear face?,Nigeria
Normally used when discussing especially if someone makes a frightful statementetc, fear fear,Nigeria
to appreciate someone or somethingto be in agreement withto take pleasure in an event or situ..., feel,Nigeria
film, feem,Nigeria
Not stablecan easily be swayed, felele,Nigeria
"Means ""shut up""", fem,Nigeria
Fine From Far but Far From Fine (Ugly), fff,Nigeria
adding something extra, fi si,Nigeria
means: always afriad, fia-fia ,Nigeria
To fight using martial arts, fight karat,Nigeria
To allow someone or something to be., file,Nigeria
a movie or film, fim,Nigeria
To look for something, find am,Nigeria
1. Annoyinggetting on my nerves, find my trouble,Nigeria
1. Fresh facadetrendy, fine boi,Nigeria
A sarcastic way of saying indeed. , fire,Nigeria
Slangsometimes very offensive., fish,Nigeria
it is used to suggest the ability to do something., fit,Nigeria
to call someone on the phone but letting the phone ring for a second before ending the call. so..., flash,Nigeria
Someone who is enjoying life or something., flendi,Nigeria
Way of life, flenjo,Nigeria
To enjoy, flex,Nigeria
The application of an insecticide or substance used to kill insects., flit,Nigeria
This is to beat someone with a cane as a form of corporal punishment, flog,Nigeria
To move in the airjust the way birds fly or other objects that flies in the air or sky., fly,Nigeria
Is a degatory used to describe someone who follows or copies what other people do without reasoning., follow follow,Nigeria
speaking in american or british accent, fone,Nigeria
the act of speaking with a foreign accent or do things that is not the nigerian way, fonerize,Nigeria
FROM HERETHERE. MEANING TO INTEND DO SOMETHING, for dey,Nigeria
this means something IMPOSSIBLE or not probable, for were,Nigeria
1.sarcastic way to say Impossiblenot a chance 2. see: life, for where,Nigeria
Trying to be sometin you\'re not, form,Nigeria
To get annoyed or angry at a person or situation, form vex,Nigeria
someone who pretends to be what they are not Formers form. This means that wannabes pretend to be..., former,Nigeria
showing off and/or pretending, forming,Nigeria
To be scared, fortate,Nigeria
photograph, foto,Nigeria
"Originated from a famous Nigerian soap Opera; \""The Masquerade\"" famed for making up humorous wor...", four-forty,Nigeria
A car, fourleg,Nigeria
allow melet me be., free me,Nigeria
Friend, fren,Nigeria
1. favoritismfamiliarity 2. see: follow follow, fren fren,Nigeria
a person who is rich and has swag..big swag.., frosh,Nigeria
